id,host_id,property_type,room_type,bathrooms_text,neighbourhood,name,description,accommodates,bathrooms,bedrooms,beds,price
1479883,5105108,Private room in home,Private room,2 shared baths,"Chêne-Bougeries, Canton of Geneva, Switzerland","Chambre privée, villa avec jardin","Furnished room in villa, garden available, bathroom , kitchen option with owner, laundry room,Wifi.<br />30m stop of 2 bus lines, 5mn from the city center or lake, left bank.",3,2.0,1.0,0.0,68.0
1580057,2125029,Entire rental unit,Entire home/apt,2.5 baths,"Geneva, Switzerland",Geneva Wao!Bright 3 Bedrooms 3 bathrooms lake flat,"On the 5th floor of an elevator building in the right bank of Geneva (Rive Droite). This superb lake view apartment 160 SQM has 6 rooms, 3 bedrooms 2 and half bathrooms, enjoys a central sunny, bright apartment and still very quiet. The apartment is ideal for families or for receiving guests in its generous living room. The apartment was completely renovated with best materials and high quality appliances.<br />Layout:<br />160 SQM of living space, an entrance hall with, guest WC, a fully equipped kitchen",6,2.5,3.0,6.0,250.0
1702148,8985240,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland","Perfect for UN Intern ! Central, Fully Furnished !","Perfect for a UN Intern! ONLY Female! <br /><br />I will not be in the apartment next period. You will have the apartment only for you.<br /><br />Cosy and spacious 2 piece apartment is located in Eaux-Vives, the best area in Geneva! Near the lake. Panoramic view of the famous Water Jet. Everything is in walking distance, lake in 5 mins, old town in 10.",1,1.0,1.0,2.0,60.0
1706604,9005801,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland","center Geneva, 2 bedrooms apt","2 bedrooms with balcony apartment, 1 tramstop away from ""Rive"", shower room, open plan kitchen/dining area/living room with AC. 2nd floor no lift. Lovely area with small shops and restaurants.",3,1.0,2.0,2.0,219.0
1917876,9943711,Private room in rental unit,Private room,1 shared bath,"Petit-Lancy, Genève, Switzerland",Chambre Cosy,"Our place is perfect for solo and business travelers.<br />Located towards the  Bois de la Bâtie,  you can walk around and also jog. <br />We are 12min from the city center by public transport that are in front of the house or 2min walk.<br />We have a dog, who is very friendly and tranquil.",2,1.0,1.0,1.0,75.0
1933146,9005801,Entire condo,Entire home/apt,1 bath,"Geneva, Switzerland","center Geneva, 2 bedrooms apartment, full AC","Center town, between lake and old town, part of our Hotel Central, 2 bedrooms with AC, 1 living/eating room with AC, fully fitted kitchen, washing machine, dishwasher, free OPTIC FIBER wifi, free public transport card for all guests and for the duration of your stay. Hotel Services available if wanted. Located on the 7th floor of the building with lift access to the 6th floor, then stairs.",4,1.0,2.0,3.0,338.0
1933255,9005801,Entire rental unit,Entire home/apt,2 baths,"Geneva, Switzerland","Geneva Center, 3 bedroom 2 bath apt, Full AC","Between the old town and the lake, next to Confederation center, this 3 air conditioned bedrooms (2 twins & 1 double bed) and 2 bathrooms apartment is located in the same building as our Hotel Central. You will receive free public transport cards for all guests and for the duration of your stay, including departure date.) Fiber optic WIFI. During the covid pandemic cleaning service is done twice a week, normally on tuesdays and fridays..",6,2.0,3.0,3.0,395.0
2022387,10393752,Private room in rental unit,Private room,1 shared bath,"Geneva, Switzerland",Private Room - Downtown,"Fully equipped private room in a great and very central location in Geneva.  From the airport to Geneva main train station is about less than 5 minutes by train.  Around 3 to 5 minutes walk from the Main Train Station (Gare Cornavin) going to our place. Unlimited access to kitchen, living-room and laundry(free). You will stay with a friendly family with 1 child (young adult). Feel free to inquire!",1,1.0,1.0,1.0,85.0
2058042,10529209,Private room in rental unit,Private room,2 shared baths,"Geneva, Switzerland",Superior comfortable room near UN,"Great room available with all amenities (wifi, 2 toilets and shower, living room, furnished kitchen, 2 min away from airport line and tram to Cornavin. Extremely well located. If necessary, airport pickups can be arranged for a fee.",2,2.0,1.0,0.0,75.0
2336814,9005801,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Lovely little studio center Geneva,"2nd floor (no lift), Fiber optic WIFI, studio is cleaned once a week, internet TV (fiber), NON SMOKING, has a proper sofa bed, kitchenette with 2 hot plates, oven and micro wave 2 in 1, bathroom with shower, WC and washbasin, washing machine, dryer. Very close to shops and restaurants and still quiet. Tram N° 12 and tram N°17 are less than 100 meters away.",1,1.0,0.0,1.0,150.0
2350002,11977942,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Beautiful attic center town,"Two bedrooms (king and queen-size beds), beautiful spacious living room, open kitchen. Huge terrace along the whole apt. 8 mins walk from train station, 2 mins from lake, 3 tram stops from UN. Quiet, very animated and characteristic area (restaurants, bars).",4,1.0,2.0,2.0,151.0
2415094,833313,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Appartment in central Geneva,"We rent our full apartment while we travel. <br />75 sq. 1 room with double bed <br />Living room <br />Fully equipped kitchen, dish washer and washing machine. <br />Bathroom with bathtubs, separated toilet.<br />Please note that this is the place where I live and my stuff is inside.",2,1.0,1.0,1.0,110.0
2420928,12040075,Private room in condo,Private room,1 shared bath,"Genève, Switzerland",cozy and spacious room close all facilities,"Cozy room, quiet and spacious in well located flat.<br />The flat is at 20 mn by foot to the city center and fully appointed with everything you would need. <br />The flat is in front of the Accacia'park and swimming pool.<br />The flat is situated about 10 minutes by tram to the main station (Cornavin)<br />The flat is about 05 minutes on foot from the Uni mail University.<br />The kitchen is fully equipped with washing machine. <br />Quiet rest.<br />Good wifi",1,1.0,1.0,1.0,59.0
2577285,10012541,Entire condo,Entire home/apt,2 baths,"Geneva, Switzerland","CHARMING, LARGE, CLEAN 3br, Central, by the River","In Geneva city center, just by the river Rhone, LARGE, charming and very comfortable apartment. <br /><br />THREE bedrooms (1 w/queen and 2 w/single beds) all for my guests. One full bathroom with bathtub, sink and toilet; one shower-room with access from the master bedroom, and a 1/2 bathroom with toilet and sink.<br /><br />Super clean, modern, comfortable, bright, quiet and fully equipped with all facilities (high-speed WIFI, TV, dishwasher, washing machine, etc.).",3,2.0,3.0,3.0,120.0
2580273,13214594,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Cozy WHOLE FLAT in Plainpalais-city center!,"Fully furnished Apartment available also from 20th Oct to 1 December (20 days minimum), king size double bed, 1 queen size mattress on floor for guests you booked in advance. A fully equipped kitchen and bath room with a bathtub. Offers fast wifi.<br />It’s in Plainpalais, next to museum of ethnography, close to tram stop- 1 min walk, university (5 min walk), restaurants, 10 mins tram from main train station and 20 mins from Geneva Airport. 20 minutes from UN. <br />please enjoy your stay! Merci la vie :)",2,1.0,1.0,2.0,75.0
2619985,13417497,Entire rental unit,Entire home/apt,1.5 baths,"Pregny-Chambésy, Geneva, Switzerland","Elegant, 2 bdr, huge balcony, Alp views, near UN","Gorgeous, sunny, tastefully furnished, 2-bed apartment with stunning terrasse and views over Mont Blanc in Chambesy/Geneva. Located in a villa on a peaceful, leafy street. The house is 5 mins by car from the UN overlooking a large garden, with external parking. Bus/train/supermarket are a 5 mins walk (then 5-10  minutes by train to downtown Geneva or the UN). A retreat for those arriving in Geneva or here for a business meetings or conferences.",2,1.5,2.0,2.0,165.0
2664733,13638515,Entire villa,Entire home/apt,3.5 baths,"Chêne-Bougeries, Geneva, Switzerland",Magnificent villa in Geneva,"Exceptional Villa, in the most desirable location of Geneva, Conches. 5 minutes from center.  Forest, River, Birds and tranquility.<br />Garden of 1500m2. Large heated Swimming pool, sauna, trampoline.<br />Living space of 240m2 <br />5 bedrooms<br />1 Main kitchen and a separate kitchen (not always with guest access)<br />3 baths",11,3.5,5.0,12.0,1529.0
2675703,13699035,Entire rental unit,Entire home/apt,1.5 baths,"Geneva, Switzerland",Apartment in the heart of Geneva,"Beautiful 80m2 apartment in Geneva. Only 2 minutes from the lake. Quiet, internet, tv. Kitchen fully equipped. There is one double room (big bed) + one living room. The apartment can welcome a couple or a single guest.",2,1.5,1.0,1.0,150.0
2777113,4135904,Private room in rental unit,Private room,1.5 shared baths,"Carouge, Geneva, Switzerland",Single room in city center (for a women only),"Single room in Geneva city center.  To be rent only to a women. Close to all commodities and groceries. Tram stop is downstairs in front of the building. You can reach city center with 15mn walking distance or 5mn by Tram. The flat has a huge living room, furnished kitchen, 1 bathroom, and a balcony. The Person can feel free to use the kitchen and everything in the flat. I would like a non smoker person.",1,1.5,1.0,1.0,70.0
2940931,13921113,Private room in rental unit,Private room,1 bath,"Plan-les-Ouates, Geneva, Switzerland","Spacieuse, confortable chambre avec balcon",Large and pleasant room. Located 10 min from the airport by taxi and 15 min from the city center in a large apartment . Close to all amenities. Bus station only 100m away. Individual shower room. Fully equipped kitchen available. Possibility of enjoyment of the small garden if needed.,1,1.0,1.0,1.0,60.0
3087183,4479526,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",★Cosy apartment downtown! ★,"I'll make sure you will feel good staying here! <br />Great located 5th floor apartment (no lift, sorry), cosy, quiet and luminous,  <br />50 m2, nice deco, parquet-<br />Super location: 1 min to restaurants, bars, river, and 8 to the lake",2,1.0,5.0,1.0,99.0
3322739,1022528,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Your cozy and clean Geneva home by Plainpalais,"The perfect pied-a-terre while on business trip or visiting Geneva as a tourist. A stylish, quiet and comfortable 65m2 appartment for a convenient stay",2,1.0,1.0,1.0,130.0
3345351,3778243,Private room in rental unit,Private room,1.5 baths,"Geneva, Switzerland",Prime location! B&B Netflix WI-FI close to ONU,"GENEVA'S HEART!<br />3 mins. to our tramway stop<br />10 min. to Gare Cornavin<br />Locker in bedroom<br />Close to those facilities (shops, drugstore, coffee shops, medical center, local restaurantes, supermarket, laundromat, hairdresser, mall close by, public transports, etc.)<br />Wifi<br />Self service Continental breakfast<br />Beautiful bedroom with double bed (160X200cm), sofa, wardrobe and small desk.<br />Close to:  UN, WIPO, WHO, ITC, WMO, ITU, CERN, ROLEX, PALEXPO, Water Jet and Old Town - All easily doable by foot",2,1.5,1.0,1.0,109.0
3351768,3816529,Private room in rental unit,Private room,1 shared bath,"Geneva, Switzerland",Spacious room in a shared flat.,"16m2 bedroom, plus access to living room and separate kitchen.  <br />There is plenty of cupboard &/or shelf space. <br />Bathroom and separate toilet.  <br />There is also a balcony all around.  ",2,1.0,1.0,1.0,70.0
3384278,17074167,Private room in rental unit,Private room,1 bath,"Geneva, Switzerland","females only, 10min Geneva center","In Eaux-Vives close to downtown Geneva, Rive<br />The room is available for female<br />You will share the apartment with our family,we have 2kids 7 years + 15 months, so you have to be adapted to some noise during some nights but its really rare",1,1.0,1.0,1.0,47.0
3393746,13921113,Private room in rental unit,Private room,1 shared bath,"Plan-les-Ouates, Genève, Switzerland",chambre au calme,room located in a quiet location 20 min from the city center and 10 min from the airport by car. Close to all amenities and well served by public transport. It is located 30 min  from the salève  where vs  contemplate Geneva by cable car,1,1.0,1.0,1.0,52.0
3423232,17252228,Entire condo,Entire home/apt,1 bath,"Chêne-Bougeries, Genève, Switzerland",Studio 50m2 near the center 3 min from transport.,"Studio located between the city and the countryside . 5 minutes from the city center by bus 2 minutes walk from transport (bus numbers 25 and 5) 5 minutes walk from Parc Stagni 15 minutes walk from amenities (Supermarkets, sports centers, bakery, medical center, pharmacy, restaurants, terraces), 5 minutes on foot walks in a green environment Bike paths directly accessible Close to the French border",2,1.0,1.0,1.0,89.0
3440524,17339010,Private room in rental unit,Private room,1 shared bath,"Geneva, Switzerland",Calm room in the city center,This room in a comfortable apartment is located 5 minutes from Geneva main train station. <br />Free Wi Fi and Laundry.<br />Flat screen TV. In room tea and coffee.,1,1.0,1.0,1.0,54.0
3789436,18793821,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Amazing Studio in Geneva,"Excellent apartment/studio in the city center of Geneva; 1 minute from Cornavin station and public transport to all directions in Geneva; 2 minutos from lake Léman; around the corner from shops, restaurants & nightlife. Super well located.",2,1.0,1.0,2.0,120.0
3837904,19769295,Private room in rental unit,Private room,1 shared bath,"Carouge, Genève, Switzerland",grande chambre lumineuse,"Please read the listing in its entirety before booking, as well as the rules.<br /><br />Room in apartment with 1 adorable cat who will welcome you if I am not there.",2,1.0,1.0,1.0,56.0
4264696,22138576,Entire rental unit,Entire home/apt,1.5 baths,"Genève, Switzerland",Your home... 10' walk Downtown!,"Your amazing, comfort, bright and cozy ap. with terrace, kitchen and a genuine ""relax"" touch 72 sq/m ap. Sleeps 6 people and is located on a quiet street between 2 parks. Just 2 blocks from historic downtown. Instant access to public transport ;)",6,1.5,2.0,2.0,565.0
4422262,21533388,Entire rental unit,Entire home/apt,1 bath,"Plan-les-Ouates, Genève, Switzerland",STUDIO exceptionnel 28m2 avec petit jardin,"Fully equipped modern studio with independent access. Ideal for 1. About 20 min. from the center, public transport 5 minutes' walk, small shopping center and restaurants 10 min. walk",2,1.0,0.0,1.0,120.0
4581470,22943191,Entire guesthouse,Entire home/apt,1 bath,"Carouge, Geneva, Switzerland",Pavillon dans un jardin du Vieux Carouge,"This is a detached guest studio in our courtyard garden. <br />You have a view on the garden, where you can enjoy the tranquility after a stressful day.  Carouge's market square with cafes, restaurants, pharmacy, supermarket, and many small shops is just a few minutes walk away. Downtown Geneva can be reached in 10 minutes by tram lines 12 and 18, which keep in the immediate vicinity.",2,1.0,1.0,1.0,130.0
4798214,24724047,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Geneva attractive central apartment,We rent our full apartment when not occupied. <br />- 1 room with double bed <br />- Living room with flat screen TV <br />- Fully equipped kitchen (with dish washer) <br />- Quiet balcony <br />Wi-Fi <br />Towels and bedsheets. <br />Apartment is very central and well connected.,2,1.0,1.0,1.0,106.0
4799361,24728835,Entire rental unit,Entire home/apt,1.5 baths,"Genève, Switzerland",Grand 2 pièces lumineux proche Vieille Ville/lac,"Beautiful two corner rooms, bright and full of charm, ideally located in Geneva. Combining luxury and tranquility, it is close to the center and the Old Town, surrounded by greenery. The lake can be reached in 10 minutes by foot.",2,1.5,0.0,1.0,135.0
4887567,25145482,Entire loft,Entire home/apt,2 baths,"Genève, Switzerland",Spacious and beautiful 2-story loft,Luxurious loft duplex apartment 150m². Ground floor: bedroom with queen size bed and sunken bath in it; separate toilet; open kitchen; living room; high ceilings; floor heating; small pebble garden. Lower floor: room with twin beds; toilet/shower; portable heater. Beautiful wooden floors throughout (except bedroom with sisal carpeting and downstairs bathroom with ceramic tile).  Private entrance.  Quiet.  Centrally-located.,4,2.0,1.0,3.0,295.0
5028852,4383246,Entire home,Entire home/apt,1 bath,"Vessy, Genève, Switzerland",Charming and calm studio - Geneva,"Fully-furnished and independent studio in an attractive villa. A calm, green haven near downtown Geneva. 20 minutes bus/tram ride to the city centre and 10-15 minutes by foot to Carouge, one of the city’s most beautiful and vibrant neighborhoods.",2,1.0,0.0,1.0,95.0
5066448,3737690,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Appartement moderne à 100 m du lac,"Right in the heart of the sought-after Eaux-Vives district, very nice 50 m2 apartment,<br />renovated. Fully equipped kitchen open to the living room. Sofa bed with very comfortable mattress. Fiber optic for internet and TV. Separate room with Double bed",4,1.0,1.0,2.0,155.0
5120419,9005801,Entire rental unit,Entire home/apt,1.5 baths,"Genève, Switzerland","Geneva center, 2 bedrooms apt w/AC","Center town, between lake & old town, part of our Hotel Central, 2 bedrooms, 1 living room w/AC, kitchenette, eating area, bathroom & sep. toilets, wifi & public transport card. Free daily cleaning unless unwanted.",4,1.5,2.0,2.0,312.0
5137416,8548638,Entire condo,Entire home/apt,1 bath,"Genève, Switzerland",Geneva center with panoramic views,"Panoramic views over France, Geneva city, (Jura, Saleve, Lac) from this beautiful 7th floor flat.  Lifts  to all floors.<br />Bedroom, lounge, office, separate kitchen,  bathroom and garage to accommodate four people.  <br />Two balconies on each side of the appartment.  <br />Extremely calm and residential at night.  <br />Fully fitted kitchen for a chef. <br />Five minutes walk to  the lake Leman and many shops and cafes in the vicinity.",3,1.0,1.0,2.0,332.0
5455569,24724047,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Geneva central appartment,We rent our full apartment when not occupied.<br />45sq.: 1 room with double bed + living room with flat screen TV + fully equipped kitchen.<br />Wi-Fi<br />Towels and bedsheets.<br />Apartment is very central and well connected.,2,1.0,1.0,2.0,99.0
5487662,28456554,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Apartment in the Geneva center Plainpalais,"I rent out my apartment placed in the center of Geneva in Plainpalais. <br /><br />Fee includes electricity and water. <br />Price 1600 + deposit 4800+single administration fee 200<br /><br />PLEASE NOTE THAT YOU WILL BE OBLIGED BEFORE  I ACCEPT YOUR REQUEST TO SIGN SUBLET DOCUMENT WITH ME. ALL FEES, i.e. A DEPOSIT AND AT LEAST 1 MONTH RENT NEED TO BE PAID IN ADVANCE PERFECTLY 4 WEEKS BEFORE YOUR ARRIVAL(TIME THAT LANDLORD NEEDS TO SIGN THE AGREEMENT)",1,1.0,1.0,1.0,53.0
5903347,30661130,Shared room in loft,Shared room,1.5 shared baths,"Genève, Switzerland",Budget-bed Geneva centre (only as from 8pm to 8am),"In a nice and clean little loft where I live, comfy futon for 1 or 2 people. A little breakfast is offered :)<br /><br />IMPORTANT : <br />- No contagious affections and certification of no recent contact with bed bugs<br />- Conditions/access times under ""House rules"" to confirm<br />- nocarz hydes your pictures, discriminating the hosts. So if you  additionally have no reviews yet, don't do any request. Blind hosting no thanks sorry, given that alternative solutions work good now.",3,1.5,1.0,1.0,22.0
5961262,8287850,Entire serviced apartment,Entire home/apt,1.5 baths,"Genève, Switzerland",45m2 City Center Cosy Apartment - 1 or 2 Persons,"Equipped with the very latest high-tech facilities, this Apartment is located just two minutes’ walk from Lake Geneva and the world-famous Jet d’Eau.",2,1.5,1.0,1.0,290.0
6003027,22357526,Private room in home,Private room,2 shared baths,"Vandœuvres, Genève, Switzerland",Room in a countryside house,"Our house is a 15 minute bus ride from Geneva centre, in the countryside village of Vandoeuvres.  <br /><br />A bus stop, delicious bakery and well-known restaurants are within walking distance from the house. <br /><br />The guest room is in a shared house with Ashton, the horse-dog, myself and my children who are here part-time.<br /><br />Our philosophy is free-style as long as we treat others the same way we'd like to be treated.",1,2.0,1.0,1.0,100.0
6151047,31908064,Entire rental unit,Entire home/apt,1 bath,"Genève, Switzerland",Champel  beauty Flat 50m +garden & terrace  center,"lovely flat 50m. with terrace & garden in Residence Mirmont heights qin Champel, a prestigious area.<br />A privileged and safe neighborhood, close to the center of Geneva, near the Super Marché, Bertrand Park, Continental Hospital and restaurants.<br />Comfortable double bed, extra sofa bed for 2 people, 6-seater dining table, bed for babys, fully equipped kitchen, large bathroom with washing machine.<br />Quiet, sunny, green spaces, all amenities close by, public transport a few meters from the  appartement",2,1.0,1.0,3.0,104.0
6279426,11437698,Private room in rental unit,Private room,1.5 shared baths,"Geneva, Switzerland",Chambre meublé proche de Cornavin,"Spacious room beautifully decorated, very clean and airy, guaranteeing a pleasant stay, in an atmosphere of peace and without internal noises. The common areas enjoy a lot of brightness. The apartment is 3 minutes walk from Lake Geneva and 4 from the Bus station. Gare Cornavin is a 7-minute walk away and the city centre is 10 minutes away.  In front of the building we have two public transport lines. (Bus 1) (Bus 25)",1,1.5,1.0,1.0,60.0
6382351,8287850,Entire serviced apartment,Entire home/apt,1.5 baths,"Genève, Switzerland",All equipped 60m2 right in the center of Geneva !,"The exclusive, fully air-conditioned Swiss Luxury Apartments are housed in a historical building. Maximum capacity is 4 Persons. Apartment is located just two minutes’ walk from Lake Geneva and the world-famous Jet d’Eau.",4,1.5,1.0,3.0,709.0
6484997,10529209,Entire rental unit,Entire home/apt,2 baths,"Genève, Switzerland",Comfortable apartment in Nations,"Fully equipped, comfortable and spacious appartment in calm area near international organizations and conference center. Easy links to and from airport and central train station.",5,2.0,1.0,0.0,250.0
